Name,Album Artist,Spotify URI
All I Want,Chris Brown,spotify:track:0T3eQNCGwO5nOsBymYQSPX
No Guidance,Chris Brown,spotify:track:6XHVuErjQ4XNm6nDPVCxVX
Sorry Enough,Chris Brown,spotify:track:2KmCMQ2EuJs4d2QK9f5yRL
Undecided,Chris Brown,spotify:track:58oryymPZNdtS2z8Une6NJ
Early 2K,Chris Brown,spotify:track:5ukTyGI2xoGVVvsjlTACEL
Balls Out,¥ellow Bucks,spotify:track:0OBs5F6NRoZPWTyEanAnpR
Thought It Was a Drought,Future,spotify:track:7hbjjikJ0jZcoKHaofy209
Lil One,Future,spotify:track:0njm53obEEnrgdkqO30kR6
Stick Talk,Future,spotify:track:3DtdAJJWgY5pQPNkQKxrCf
Rich $ex,Future,spotify:track:7HXSpPrq9OxfXg9pRUhzWB
Fuck Up Some Commas,Future,spotify:track:64RDvDnl1g6ak2nDyFevk1
Live From the Gutter,Drake & Future,spotify:track:2uTG00P1DkhB97pdITkl2O
I'm the Plug,Drake & Future,spotify:track:6bqtKURdSWkInAJHDkuaL0
Jersey,Drake & Future,
In Her Mouth,Future,spotify:track:3K0sVapHNSSeJ8o4DLHOJY
Low Life,Future,spotify:track:7EiZI6JVHllARrX9PUvAdX
Wicked,Future,spotify:track:6BbINUfGabVyiNFJpQXn3x
I'm so Groovy,Future,spotify:track:2Nfd2ITp4WkI1aoZlYpZwg
Mask Off,Future,spotify:track:0VgkVdmE4gld66l8iyGjgx
Patek Water,Future & Young Thug,spotify:track:7r6LNJT2LqpLpEyZQJPygt
Mink Flow,Future & Young Thug,spotify:track:1KF7iLK6wK3hjjtqxjRiym
Fine China,Future & Juice WRLD,spotify:track:5274I4mUMnYczyeXkGDWZN
Crushed Up,Future,spotify:track:7wcyO1rrH3Ru4t659IjG41
Unicorn Purp,Future,spotify:track:2U3LJfQB0ALLxC7Yy0QW7l
First Off,Future,spotify:track:3WRIaWsws011vHMd9uzPjG
Government Official,Future,spotify:track:2QEnZJ8FwpBoyLKcFcgceT
HiTek Tek,Future,spotify:track:5v1STk4ZTTDrhgCs6LD3nd
Solitaires,Future,spotify:track:4kfeRwpq5KUaqTkgi4TbDF
